STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,SPECIFICATION,Specification,EMPLOYMENT,Employment,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,DECIMALS,Decimals,NOTE_YEAR_2,Note year 2,NOTE_YEAR_1,Note year 1,NOTE_SPECIFICATION_2,Note specification 2,NOTE_SPECIFICATION_1,Note specification 1,NOTE_EMPLOYMENT_2,Note Employment 2,NOTE_EMPLOYMENT_1,Note Employment 1
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C02,Financial sector professionals,SL07,Foreigners,2009,,11628,,,,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C02,"FSP include specialised financial sector professionals, support financial sector professionals and investment firms",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C02,Financial sector professionals,SL07,Foreigners,2010,,12254,,,,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C02,"FSP include specialised financial sector professionals, support financial sector professionals and investment firms",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C02,Financial sector professionals,SL07,Foreigners,2011,,12103,,,,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C02,"FSP include specialised financial sector professionals, support financial sector professionals and investment firms",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C02,Financial sector professionals,SL07,Foreigners,2012,,12824,,,,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C02,"FSP include specialised financial sector professionals, support financial sector professionals and investment firms",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C02,Financial sector professionals,SL07,Foreigners,2013,,12670,,,,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C02,"FSP include specialised financial sector professionals, support financial sector professionals and investment firms",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C02,Financial sector professionals,SL07,Foreigners,2014,,,,l,Not available,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C02,"FSP include specialised financial sector professionals, support financial sector professionals and investment firms",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C02,Financial sector professionals,SL07,Foreigners,2015,,,,l,Not available,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C02,"FSP include specialised financial sector professionals, support financial sector professionals and investment firms",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C02,Financial sector professionals,SL07,Foreigners,2016,,,,l,Not available,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C02,"FSP include specialised financial sector professionals, support financial sector professionals and investment firms",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C02,Financial sector professionals,SL07,Foreigners,2017,,,,l,Not available,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C02,"FSP include specialised financial sector professionals, support financial sector professionals and investment firms",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C02,Financial sector professionals,SL07,Foreigners,2018,,,,l,Not available,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C02,"FSP include specialised financial sector professionals, support financial sector professionals and investment firms",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C02,Financial sector professionals,SL07,Foreigners,2019,,,,l,Not available,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C02,"FSP include specialised financial sector professionals, support financial sector professionals and investment firms",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C02,Financial sector professionals,SL07,Foreigners,2020,,,,l,Not available,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C02,"FSP include specialised financial sector professionals, support financial sector professionals and investment firms",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C02,Financial sector professionals,SL07,Foreigners,2021,,,,l,Not available,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C02,"FSP include specialised financial sector professionals, support financial sector professionals and investment firms",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C02,Financial sector professionals,SL07,Foreigners,2022,,,,l,Not available,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C02,"FSP include specialised financial sector professionals, support financial sector professionals and investment firms",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C02,Financial sector professionals,SL07,Foreigners,2023,,,,l,Not available,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C02,"FSP include specialised financial sector professionals, support financial sector professionals and investment firms",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C02,Financial sector professionals,SL07,Foreigners,2024,,,,l,Not available,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C02,"FSP include specialised financial sector professionals, support financial sector professionals and investment firms",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C02,Financial sector professionals,SL07,Foreigners,2025,,,,l,Not available,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C02,"FSP include specialised financial sector professionals, support financial sector professionals and investment firms",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,1999,,,,z,Not applicable,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2000,,,,z,Not applicable,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2001,,,,z,Not applicable,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2002,,,,z,Not applicable,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2003,,1,,,,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2004,,29,,,,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2005,,41,,,,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2006,,123,,,,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2007,,135,,,,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2008,,146,,,,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2009,,147,,,,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2010,,133,,,,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2011,,132,,,,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2012,,152,,,,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2013,,151,,,,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2014,,,,l,Not available,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2015,,,,l,Not available,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2016,,,,l,Not available,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2017,,,,l,Not available,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2018,,,,l,Not available,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2019,,,,z,Not applicable,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2020,,,,z,Not applicable,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
DATAFLOW,LU1:DF_B3102(1.2),"Employment in the Luxembourg credit institutions, financial sector professionals and managment companies",I,A,Annual,C03,Management companies,SL05,Men,2021,,,,z,Not applicable,0,Zero,,,N01,Data may vary from CSSF annual reports due to reporting deadlines or winding-up procedures.,,,C03,"Since 2019, CSSF uses the concept of ""investment fund managers"" (authorised IFMs include the following fund managers: management companies governed by chapter 15 of the law of 17 December 2010 on undertakings for collective investment, authorised alternative investment fund managers (AIFMs) governed by the law of 12 July 2013 on alternative investment fund managers) and has adjusted the calculation of the statistics accordingly.",,,spec,- Situation at the end of period.   - Management companies acording to Chapter 13 of the law of 20 December 2002.
