STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,UNIT_MEASURE,Unit of measure,MEASURE,Measure,FREQ,Frequency,QUANTILE,Quantile,ACTIVITY,Economic activity (NACE Rev.2),SEX,Sex,ISCO08,Occupation (ISCO-08),EDUC_LEVEL,Educational level,RESIDENCE,Place of residence,CPAYAGR,Collective labour agreement,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation status,DECIMALS,Decimals,COMMENT_DSET,Comments on the dataset levels
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_RESID,Percentage of total employment by category of residence,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,N,Administrative and support service activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU,Luxembourgish residents,_Z,Not applicable,2018,,2.36,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_RESID,Percentage of total employment by category of residence,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,N,Administrative and support service activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU,Luxembourgish residents,_Z,Not applicable,2022,,2.46,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_RESID,Percentage of total employment by category of residence,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,F,Construction,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,RES_FOR_ALL,Residents of foreign nationality (EU and non-EU),_Z,Not applicable,2010,,20.04,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_RESID,Percentage of total employment by category of residence,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,F,Construction,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,RES_FOR_ALL,Residents of foreign nationality (EU and non-EU),_Z,Not applicable,2014,,15.94,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_RESID,Percentage of total employment by category of residence,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,F,Construction,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,RES_FOR_ALL,Residents of foreign nationality (EU and non-EU),_Z,Not applicable,2018,,14.63,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_RESID,Percentage of total employment by category of residence,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,F,Construction,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,RES_FOR_ALL,Residents of foreign nationality (EU and non-EU),_Z,Not applicable,2022,,12.72,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,Q,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2010,,100,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,Q,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2014,,100,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,Q,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2018,,100,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,Q,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2022,,100,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,I,Accommodation and food service activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,RES_FOR_ALL,Residents of foreign nationality (EU and non-EU),_Z,Not applicable,2010,,42.7,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,I,Accommodation and food service activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,RES_FOR_ALL,Residents of foreign nationality (EU and non-EU),_Z,Not applicable,2014,,48.1,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,I,Accommodation and food service activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,RES_FOR_ALL,Residents of foreign nationality (EU and non-EU),_Z,Not applicable,2018,,46.1,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,I,Accommodation and food service activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,RES_FOR_ALL,Residents of foreign nationality (EU and non-EU),_Z,Not applicable,2022,,41.8,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_RESID,Percentage of total employment by category of residence,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,S,Other service activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T_F,Total cross-border,_Z,Not applicable,2010,,0.82,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_RESID,Percentage of total employment by category of residence,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,S,Other service activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T_F,Total cross-border,_Z,Not applicable,2014,,0.88,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_RESID,Percentage of total employment by category of residence,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,S,Other service activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T_F,Total cross-border,_Z,Not applicable,2018,,0.63,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_RESID,Percentage of total employment by category of residence,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,S,Other service activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T_F,Total cross-border,_Z,Not applicable,2022,,0.82,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,L,Real estate activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2010,,100,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,L,Real estate activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2014,,100,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,L,Real estate activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2018,,100,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,L,Real estate activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2022,,100,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_RESID,Percentage of total employment by category of residence,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,P,Education,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,RES_FOR_ALL,Residents of foreign nationality (EU and non-EU),_Z,Not applicable,2010,,2.03,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_RESID,Percentage of total employment by category of residence,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,P,Education,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,RES_FOR_ALL,Residents of foreign nationality (EU and non-EU),_Z,Not applicable,2014,,2.72,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_RESID,Percentage of total employment by category of residence,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,P,Education,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,RES_FOR_ALL,Residents of foreign nationality (EU and non-EU),_Z,Not applicable,2018,,2.83,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_RESID,Percentage of total employment by category of residence,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,P,Education,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,RES_FOR_ALL,Residents of foreign nationality (EU and non-EU),_Z,Not applicable,2022,,2.96,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2010,,100,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2014,,100,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2018,,100,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2022,,100,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,S,Other service activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU,Luxembourgish residents,_Z,Not applicable,2010,,38.8,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,S,Other service activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU,Luxembourgish residents,_Z,Not applicable,2014,,40.4,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,S,Other service activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU,Luxembourgish residents,_Z,Not applicable,2018,,42.3,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,S,Other service activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU,Luxembourgish residents,_Z,Not applicable,2022,,35.7,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_RESID,Percentage of total employment by category of residence,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,B-S,"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,RES_FOR_ALL,Residents of foreign nationality (EU and non-EU),_Z,Not applicable,2010,,100,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_RESID,Percentage of total employment by category of residence,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,B-S,"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,RES_FOR_ALL,Residents of foreign nationality (EU and non-EU),_Z,Not applicable,2022,,100,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
DATAFLOW,LU1:DSD_ESS_2@DF_C1337(1.1),Employment: percentage by economic activity and residence/nationality,I,PC_EMP_NACE,Percentage of total branch employment,SAL_INT,Domestic payroll employment,A4,Quadrennial,_Z,Not applicable,O,Public administration and defence; compulsory social security public,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,RES_FOR_ALL,Residents of foreign nationality (EU and non-EU),_Z,Not applicable,2010,,3,,0,Units,,,1,One,N05,"<b>Coverage:</b><p>Branches B-S;</p><p>Companies with 10 or more employees,</p><p><b>Note:</b></p><p>Public administration: covers only central government administration (CGPO)</p>"
